Area_Axon;Area_Fiber;CentroidX;CentroidY;Perimeter_Fiber;Perimeter_Axon;Fiber_MinFeretdistance;Axon_MinFeretdistance;MyelinThickness_MinFeretdistance;MinFeretdistance_gratio;Fiber_circleArea_diameter;Axon_circleArea_diameter;MyelinThickness_CircleArea;CircleArea_gratio;Fiber_circlePerimeter_diameter;Axon_circlePerimeter_diameter;MyelinThickness_CirclePerimeter;CirclePerimeter_gratio;ShapeAdjustedEllipse_Fiber;ShapeAdjustedEllipse_Axon;MyelinThickness_ShapeAdjustedEllipse;ShapeAdjustedEllipse_gratio 
1.983475;10.374473;23.200000;-61.600000;15.487797;11.476569;2.785575;1.539923;0.622826;0.552821;3.535311;1.589566;0.972873;0.449625;3.124606;0.631680;1.246463;0.202163;1.733368;0.447235;0.643067;0.258015 
2.032450;9.811264;22.000000;-61.900000;14.953538;7.522481;2.985565;1.199940;0.892812;0.401914;3.635366;1.609071;1.013148;0.442616;3.303972;0.647277;1.328348;0.195909;1.932716;0.728998;0.601859;0.377188 
3.036431;11.786576;24.300000;-62.800000;15.467798;10.110923;3.254123;1.648489;0.802817;0.506585;3.874887;1.966740;0.954074;0.507561;3.753687;0.967016;1.393335;0.257618;2.145400;0.798252;0.673574;0.372076 
4.268961;14.855657;22.100000;-63.700000;14.796403;8.479576;3.816952;1.894191;0.961381;0.496257;4.350219;2.331988;1.009116;0.536062;4.731101;1.359542;1.685780;0.287363;3.135960;1.484939;0.825510;0.473520 
3.697589;13.304792;23.900000;-66.900000;14.559272;8.785275;3.022706;1.454213;0.784247;0.481096;4.116890;2.170324;0.973283;0.527176;4.237195;1.177576;1.529809;0.277914;2.750300;1.178923;0.785688;0.428653 
2.611984;10.366310;24.900000;-67.300000;15.039248;10.248059;2.445592;1.219939;0.612826;0.498832;3.633936;1.824107;0.904914;0.501965;3.301373;0.831842;1.234765;0.251969;1.916400;0.670761;0.622819;0.350011 
3.771051;17.981875;26.400000;-67.200000;17.099145;8.105309;3.748384;1.659917;1.044234;0.442835;4.786110;2.191777;1.297166;0.457945;5.726712;1.200972;2.262870;0.209714;3.140217;1.358048;0.891085;0.432469 
3.428229;12.749745;27.700000;-68.600000;13.739313;8.133879;2.845572;1.428500;0.708536;0.502008;3.841197;2.089778;0.875710;0.544043;3.688699;1.091793;1.298453;0.295983;2.515141;1.198898;0.658121;0.476672 
3.085406;11.582515;29.100000;-68.000000;17.727685;12.350811;3.796953;2.611298;0.592828;0.687735;4.030101;1.982537;1.023782;0.491932;4.060428;0.982613;1.538908;0.241997;1.965946;0.651971;0.656987;0.331632 
53.513016;106.250599;21.600000;-43.700000;37.566693;27.835751;10.005214;6.779661;1.612776;0.677613;11.634048;8.256479;1.688785;0.709682;33.837770;17.042362;8.397704;0.503649;9.617345;6.068354;1.774496;0.630980 
4.309773;74.572134;44.800000;-51.500000;28.155735;10.433764;6.553958;1.765626;2.394166;0.269398;7.922277;2.343108;2.789584;0.295762;15.690619;1.372539;7.159040;0.087475;5.245956;1.125853;2.060051;0.214614 
6.750345;46.264761;42.800000;-54.700000;27.118644;16.693451;6.771090;3.362689;1.704201;0.496624;7.676979;2.932433;2.372273;0.381978;14.734000;2.149792;6.292104;0.145907;5.139148;1.062877;2.038136;0.206820 
16.733020;49.268542;46.000000;-54.200000;34.232574;17.450556;7.905319;3.542680;2.181319;0.448139;9.746607;4.616920;2.564844;0.473695;23.749087;5.328987;9.210050;0.224387;6.593410;2.765594;1.913908;0.419448 
3.387416;10.366310;46.600000;-49.400000;12.165106;7.171070;3.328405;1.791339;0.768533;0.538197;3.633936;2.077301;0.778317;0.571639;3.301373;1.078795;1.111289;0.326772;2.714755;1.452472;0.631142;0.535029 
3.142543;14.472022;46.700000;-50.500000;18.784775;11.165156;3.476969;1.582778;0.947096;0.455218;4.293681;2.000810;1.146436;0.465989;4.608924;1.000810;1.804057;0.217146;2.108743;0.741207;0.683768;0.351492 
3.640452;24.756708;50.100000;-47.400000;23.267408;13.453613;4.671195;2.105609;1.282793;0.450765;5.615800;2.153490;1.731155;0.383470;7.884302;1.159380;3.362461;0.147049;2.957181;0.706066;1.125557;0.238763 
0.930519;6.962569;50.300000;-48.700000;12.482233;6.616812;2.182748;0.814245;0.684252;0.373037;2.978173;1.088749;0.944712;0.365576;2.217379;0.296344;0.960517;0.133646;1.544775;0.367661;0.588557;0.238003 
2.538522;11.215205;47.900000;-51.700000;16.899155;10.665181;3.059847;1.011378;1.024234;0.330532;3.779800;1.798273;0.990763;0.475759;3.571721;0.808446;1.381637;0.226346;1.807225;0.623441;0.591892;0.344972 
1.330479;8.309373;47.800000;-55.200000;12.307956;6.851086;2.134179;0.711393;0.711393;0.333333;3.253489;1.301875;0.975807;0.400147;2.646297;0.423719;1.111289;0.160118;1.946308;0.514685;0.715812;0.264441 
11.957988;63.503853;30.700000;-58.500000;30.915597;14.847829;6.993936;2.448449;2.272744;0.350082;8.994255;3.902961;2.545647;0.433939;20.224157;3.808276;8.207940;0.188303;6.343458;2.315282;2.014088;0.364987 
16.006562;58.973694;35.300000;-59.900000;28.367153;15.516367;7.768183;3.999800;1.884192;0.514895;8.667510;4.515587;2.075961;0.520979;18.781431;5.097631;6.841900;0.271419;6.866548;3.186779;1.839885;0.464102 
13.574153;57.267742;38.800000;-58.500000;29.278536;14.790689;7.982458;3.659817;2.161321;0.458482;8.541226;4.158355;2.191436;0.486857;18.238134;4.322979;6.957578;0.237030;6.057497;2.749645;1.653926;0.453924 
