Name;CenterX;CenterY;Area;Perimeter;MinFeret;CircleAreaDiameter;CirclePerimeterDiameter;SAEDiameter;PerimeterError;AreaError 
Unmyelinated axon;25.900000;-57.400000;0.489747;3.165556;0.588542;0.789862;1.008139;0.434710;0.014088;-0.000248 
Unmyelinated axon;26.200000;-57.200000;0.546884;2.994136;0.685680;0.834666;0.953546;0.543513;0.008448;-0.000277 
Unmyelinated axon;26.500000;-57.200000;0.212224;2.022756;0.422836;0.519951;0.644190;0.298356;0.008272;-0.000108 
Unmyelinated axon;26.300000;-57.500000;0.955007;4.819759;0.957095;1.102982;1.534955;0.542238;0.025172;-0.000484 
Unmyelinated axon;27.500000;-57.000000;0.334660;2.888427;0.402837;0.652931;0.919881;0.316123;0.015316;-0.000170 
Unmyelinated axon;27.300000;-57.200000;0.718296;3.639818;0.808531;0.956570;1.159178;0.566977;0.013781;-0.000364 
Unmyelinated axon;27.700000;-57.200000;0.408122;2.728435;0.537116;0.721042;0.868928;0.430950;0.010110;-0.000207 
Unmyelinated axon;26.900000;-57.700000;0.946844;4.088367;0.942810;1.098258;1.302028;0.673103;0.014126;-0.000480 
Unmyelinated axon;27.400000;-57.500000;0.293848;2.162749;0.514260;0.611824;0.688774;0.408848;0.005501;-0.000149 
Unmyelinated axon;27.200000;-57.800000;0.269361;2.228460;0.474262;0.585777;0.709701;0.347309;0.008431;-0.000137 
Unmyelinated axon;27.700000;-57.700000;1.020306;4.862614;0.879956;1.140067;1.548603;0.577877;0.024531;-0.000518 
Unmyelinated axon;19.300000;-47.000000;1.003981;4.625483;0.948524;1.130910;1.473084;0.605501;0.021589;-0.000509 
Unmyelinated axon;19.000000;-46.900000;0.204061;2.102752;0.514260;0.509854;0.669666;0.269975;0.009987;-0.000104 
Unmyelinated axon;19.700000;-46.700000;1.044793;4.399780;0.842815;1.153667;1.401204;0.681487;0.016802;-0.000530 
Unmyelinated axon;20.100000;-46.900000;0.261198;2.285600;0.439978;0.576833;0.727898;0.322513;0.009870;-0.000132 
Unmyelinated axon;19.600000;-47.000000;0.057137;1.002807;0.228560;0.269789;0.319365;0.165738;0.003441;-0.000029 
Unmyelinated axon;24.900000;-50.700000;0.448935;2.991279;0.474262;0.756235;0.952637;0.423839;0.012855;-0.000228 
Unmyelinated axon;25.400000;-51.200000;1.028469;4.416922;0.857100;1.144618;1.406663;0.664545;0.017589;-0.000522 
Unmyelinated axon;25.900000;-50.900000;0.546884;3.982658;0.482833;0.834666;1.268362;0.368947;0.022507;-0.000277 
Unmyelinated axon;26.300000;-50.700000;0.253036;2.148464;0.428550;0.567749;0.684224;0.339308;0.007962;-0.000128 
Unmyelinated axon;26.700000;-50.800000;0.897869;5.145457;0.562829;1.069478;1.638681;0.468185;0.029204;-0.000455 
Unmyelinated axon;26.300000;-51.200000;0.138762;1.554208;0.365696;0.420436;0.494971;0.260530;0.005195;-0.000070 
Unmyelinated axon;25.700000;-51.200000;0.285686;2.282743;0.439978;0.603267;0.726988;0.360565;0.008458;-0.000145 
Unmyelinated axon;25.900000;-51.100000;0.285686;2.577014;0.482833;0.603267;0.820705;0.305184;0.013032;-0.000145 
Unmyelinated axon;25.600000;-51.400000;0.081624;1.191369;0.285700;0.322460;0.379417;0.199992;0.003972;-0.000041 
Unmyelinated axon;25.800000;-51.300000;0.130599;1.694201;0.362839;0.407883;0.539554;0.213966;0.008161;-0.000066 
Unmyelinated axon;23.900000;-51.900000;2.032450;5.548294;1.405644;1.609071;1.766973;1.127089;0.011302;-0.001031 
Unmyelinated axon;23.900000;-51.600000;0.261198;2.671295;0.308556;0.576833;0.850731;0.264171;0.014802;-0.000132 
Unmyelinated axon;24.200000;-51.500000;0.122437;1.451356;0.371410;0.394931;0.462215;0.247040;0.004711;-0.000062 
Unmyelinated axon;24.600000;-51.800000;0.171411;1.711343;0.399980;0.467288;0.545014;0.293940;0.005455;-0.000087 
Unmyelinated axon;25.100000;-51.700000;0.326498;2.408451;0.511403;0.644919;0.767023;0.393300;0.008442;-0.000166 
Unmyelinated axon;25.000000;-52.000000;0.236711;2.068468;0.448549;0.549129;0.658748;0.330477;0.007524;-0.000120 
Unmyelinated axon;25.200000;-51.900000;0.204061;1.874192;0.419979;0.509854;0.596876;0.318790;0.006091;-0.000104 
Unmyelinated axon;25.600000;-51.700000;0.244873;2.094181;0.411408;0.558517;0.666937;0.338499;0.007471;-0.000124 
